path,line,kind,owner,name,type,modifiers,scope
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","PARAMETER","Outcome(java.util.UUID,java.lang.String,java.lang.String,long,boolean)","uid","long","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","PARAMETER","Outcome(java.util.UUID,java.lang.String,java.lang.String,long,boolean)","registered","boolean","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Outcome","playerUuid","java.util.UUID","[private, final]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Outcome","accountId","java.lang.String","[private, final]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Outcome","nickname","java.lang.String","[private, final]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Outcome","uid","long","[private, final]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","28","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Outcome","registered","boolean","[private, final]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","29","RECORD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService","Signed","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Signed","[public, static, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","29","CONSTRUCTOR","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Signed","<init>","(java.lang.String,java.lang.String,long)void","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","29","PARAMETER","Signed(java.lang.String,java.lang.String,long)","accountId","java.lang.String","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","29","PARAMETER","Signed(java.lang.String,java.lang.String,long)","nickname","java.lang.String","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","29","PARAMETER","Signed(java.lang.String,java.lang.String,long)","uid","long","[]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","29","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Signed","accountId","java.lang.String","[private, final]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","29","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Signed","nickname","java.lang.String","[private, final]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/account/AuthService.java","29","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.account.AuthService.Signed","uid","long","[private, final]","内部符号待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","RECORD","xiaocaoawa.minecraft.mod.cobblebattle.api","AccountEvent","xiaocaoawa.minecraft.mod.cobblebattle.api.AccountEvent","[public, final]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","CONSTRUCTOR","xiaocaoawa.minecraft.mod.cobblebattle.api.AccountEvent","<init>","(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)void","[public]","兼容接口待审查"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/api/AccountEvent.java","5","PARAMETER","AccountEvent(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,long,boolean)","player","net.minecraft.server.level.ServerPlayer","[]","兼容接口待审查"
