path,line,kind,owner,old_name,new_name,status
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","150","PARAMETER","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","150","PARAMETER","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","name","name","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","150","PARAMETER","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","password","password","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","150","PARAMETER","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","battleType","battleType","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","150","PARAMETER","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","level","level","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","150","PARAMETER","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","pick","pick","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","150","PARAMETER","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","fullHeal","fullHeal","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","150","PARAMETER","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","hostEngine","hostEngine","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","150","PARAMETER","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","legality","legality","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","152","LOCAL_VARIABLE","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","prepared","preparedTeam","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","155","EXCEPTION_PARAMETER","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","var13","failure","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","159","LOCAL_VARIABLE","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","tooFew","tooFew","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","163","LOCAL_VARIABLE","createRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,int,int,boolean,boolean,boolean)","create","create","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","176","METHOD","xiaocaoawa.minecraft.mod.cobblebattle.battle.BattleQueue","joinRoom","joinRoom","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","176","PARAMETER","joinRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,boolean,boolean,java.lang.String)","player","participant","待验证"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","176","PARAMETER","joinRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,boolean,boolean,java.lang.String)","roomId","roomId","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","176","PARAMETER","joinRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,boolean,boolean,java.lang.String)","password","password","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","176","PARAMETER","joinRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,boolean,boolean,java.lang.String)","battleType","battleType","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","176","PARAMETER","joinRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,boolean,boolean,java.lang.String)","hostEngine","hostEngine","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","176","PARAMETER","joinRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,boolean,boolean,java.lang.String)","legality","legality","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","176","PARAMETER","joinRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,boolean,boolean,java.lang.String)","inviteCode","inviteCode","待命名"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/BattleQueue.java","177","LOCAL_VARIABLE","joinRoom(net.minecraft.server.level.ServerPlayer,java.lang.String,java.lang.String,java.lang.String,boolean,boolean,java.lang.String)","prepared","preparedTeam","待验证"
