"path","line","kind","owner","name","status"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","14","PARAMETER","EntityBackedRemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,com.cobblemon.mod.common.entity.npc.NPCEntity)","npc","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","14","PARAMETER","EntityBackedRemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,com.cobblemon.mod.common.entity.npc.NPCEntity)","originServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/EntityBackedRemoteBattleActor.java","14","PARAMETER","EntityBackedRemoteBattleActor(java.util.UUID,java.lang.String,java.lang.String,java.lang.String,java.util.List<com.cobblemon.mod.common.battles.pokemon.BattlePokemon>,com.cobblemon.mod.common.entity.npc.NPCEntity)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","18","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","LOGGER","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","19","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","outputBuffer","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","27","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","debug","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","31","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","localBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","32","FIELD","xiaocaoawa.minecraft.mod.cobblebattle.battle.MirrorBattle","battle","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","38","PARAMETER","spectator(java.lang.String,boolean)","debug","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","38","PARAMETER","spectator(java.lang.String,boolean)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","43","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","44","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","45","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentSeat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","47","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","48","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentServerId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","50","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","debug","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","56","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","remoteBattleId","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","57","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","seat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","58","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentSeat","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","61","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentName","待重构"
"src/main/java/xiaocaoawa/minecraft/mod/cobblebattle/battle/MirrorBattle.java","62","PARAMETER","MirrorBattle(java.lang.String,java.lang.String,java.lang.String,java.util.UUID,java.util.UUID,java.lang.String,java.lang.String,boolean,boolean)","opponentServerId","待重构"
